uid,treatment,cell_line,biological_replicate,technical_replicate,time_point,extraction_batch,library_prep_batch,blacklist,raw_r1_file
1,PRV,R06E,2,,6,4,2,,Julianna-9_S1_L001_R1_001.fastq.gz
2,PRV,R06E,3,,6,4,2,,Julianna-10_S2_L001_R1_001.fastq.gz
3,No_Virus,R06E,1,1,6,4,2,,Julianna-11_S3_L001_R1_001.fastq.gz
4,No_Virus,R06E,1,2,6,4,2,,Julianna-11_S36_L001_R1_001.fastq.gz
5,MR,R06E,2,,12,5,2,,Julianna-13_S5_L001_R1_001.fastq.gz
6,MR,R06E,2,,24,7,2,,Julianna-14_S6_L001_R1_001.fastq.gz
7,No_Virus,R06E,1,1,24,7,2,,Julianna-15_S7_L001_R1_001.fastq.gz
8,No_Virus,R06E,1,2,24,7,2,,Julianna-15_S37_L001_R1_001.fastq.gz
9,PRV,R06E,1,1,24,7,2,,Julianna-16_S8_L001_R1_001.fastq.gz
10,PRV,R06E,1,2,24,7,2,,Julianna-16_S38_L001_R1_001.fastq.gz
11,PRV,R06E,2,,24,7,2,,Julianna-17_S9_L001_R1_001.fastq.gz
12,PRV,R06E,3,,24,7,2,,Julianna-18_S10_L001_R1_001.fastq.gz
13,No_Virus,R06E,2,1,24,7,2,,Julianna-19_S11_L001_R1_001.fastq.gz
14,No_Virus,R06E,2,2,24,7,2,,Julianna-19_S39_L001_R1_001.fastq.gz
15,PRV,R06E,3,,48,8,2,,Julianna-20_S12_L001_R1_001.fastq.gz
16,No_Virus,R06E,1,,12,5,3,,Julianna-26_S13_L001_R1_001.fastq.gz
17,MR,R06E,2,,48,8,3,,Julianna-29_S15_L001_R1_001.fastq.gz
18,MR,R06E,3,,48,8,3,,Julianna-30_S16_L001_R1_001.fastq.gz
19,No_Virus,R06E,1,,48,8,3,,Julianna-31_S17_L001_R1_001.fastq.gz
20,PRV,R06E,1,,48,8,3,,Julianna-32_S18_L001_R1_001.fastq.gz
21,No_Virus,R06E,2,,48,8,3,,Julianna-33_S19_L001_R1_001.fastq.gz
22,MR,R06E,3,,0,2,4,,Julianna-48_S28_L001_R1_001.fastq.gz
23,MR,R06E,1,,6,3,4,,Julianna-50_S30_L001_R1_001.fastq.gz
24,MR,R06E,2,1,6,3,4,,Julianna-51_S31_L001_R1_001.fastq.gz
25,MR,R06E,2,2,6,3,4,,Julianna-51_S42_L001_R1_001.fastq.gz
26,MR,R06E,1,,12,5,4,,Julianna-53_S33_L001_R1_001.fastq.gz
27,MR,R06E,3,,12,5,4,,Julianna-54_S34_L001_R1_001.fastq.gz
28,PRV,R06E,3,,12,5,4,,Julianna-55_S35_L001_R1_001.fastq.gz
29,MR,R06E,1,,24,7,4,,Julianna-56_S1_L001_R1_001.fastq.gz
30,MR,R06E,3,,6,3,5,,Julianna-67_S12_L001_R1_001.fastq.gz
31,PRV,R06E,1,,12,5,5,,Julianna-68_S13_L001_R1_001.fastq.gz
32,No_Virus,R06E,2,,12,5,5,,Julianna-69_S14_L001_R1_001.fastq.gz
33,MR,R06E,3,,24,7,5,,Julianna-70_S15_L001_R1_001.fastq.gz
34,MR,R06E,1,,48,8,5,,Julianna-71_S16_L001_R1_001.fastq.gz
35,No_Virus,R06E,1,,0,2,3,,R06E_ZIKV_NEG_00-24_S40_L001_R1_001.fastq.gz
36,MR,R06E,1,,0,2,4,,R06E_ZIKV_MR766_00_a_S38_L001_R1_001.fastq.gz
37,MR,R06E,2,,0,2,4,,R06E_ZIKV_MR766_00_b_S39_L001_R1_001.fastq.gz